"","Chemical.class","Standard.match"
"C8-pos_Cluster_0621",NA,NA
"C8-pos_Cluster_0623",NA,NA
"C8-pos_Cluster_0624",NA,NA
"C8-pos_Cluster_0625",NA,NA
"C8-pos_Cluster_0626",NA,NA
"C8-pos_Cluster_0627",NA,NA
"C8-pos_Cluster_0628",NA,NA
"C8-pos_Cluster_0631",NA,NA
"C8-pos_Cluster_0632","Triterpenoids",NA
"C8-pos_Cluster_0634",NA,NA
"C8-pos_Cluster_0636",NA,NA
"C8-pos_Cluster_0637","Prostaglandins and related compounds",NA
"C8-pos_Cluster_0639","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0640","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0644",NA,NA
"C8-pos_Cluster_0645","Biphenyls and derivatives",NA
"C8-pos_Cluster_0646","Sesquiterpenoids",NA
"C8-pos_Cluster_0647",NA,NA
"C8-pos_Cluster_0650","Cholesterols and derivatives",NA
"C8-pos_Cluster_0651","Amino acids, peptides, and analogues",NA
"C8-pos_Cluster_0654",NA,NA
"C8-pos_Cluster_0656","Vitamin D and derivatives",NA
"C8-pos_Cluster_0658","Ergosterols and derivatives",NA
"C8-pos_Cluster_0659","Ergosterols and derivatives",NA
"C8-pos_Cluster_0660","Ergosterols and derivatives",NA
"C8-pos_Cluster_0661","Ergosterols and derivatives",NA
"C8-pos_Cluster_0662","Cholesterols and derivatives",NA
"C8-pos_Cluster_0663",NA,NA
"C8-pos_Cluster_0666",NA,NA
"C8-pos_Cluster_0667",NA,NA
"C8-pos_Cluster_0671","Vitamin D and derivatives",NA
"C8-pos_Cluster_0673",NA,NA
"C8-pos_Cluster_0674",NA,NA
"C8-pos_Cluster_0675",NA,NA
"C8-pos_Cluster_0676",NA,NA
"C8-pos_Cluster_0677",NA,NA
"C8-pos_Cluster_0679",NA,NA
"C8-pos_Cluster_0680",NA,NA
"C8-pos_Cluster_0681",NA,NA
"C8-pos_Cluster_0682",NA,NA
"C8-pos_Cluster_0683","Benzothiopyrans",NA
"C8-pos_Cluster_0684","Isoflavonoids",NA
"C8-pos_Cluster_0685","Isoflavonoids",NA
"C8-pos_Cluster_0686","O-acylglycerone-phosphates",NA
"C8-pos_Cluster_0687","O-acylglycerone-phosphates",NA
"C8-pos_Cluster_0688",NA,NA
"C8-pos_Cluster_0689",NA,NA
"C8-pos_Cluster_0691","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",NA
"C8-pos_Cluster_0692",NA,NA
"C8-pos_Cluster_0694","Kaurane diterpenoids",NA
"C8-pos_Cluster_0703",NA,NA
"C8-pos_Cluster_0706",NA,NA
"C8-pos_Cluster_0708",NA,NA
"C8-pos_Cluster_0709",NA,NA
"C8-pos_Cluster_0714","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0715",NA,NA
"C8-pos_Cluster_0716",NA,NA
"C8-pos_Cluster_0717",NA,NA
"C8-pos_Cluster_0718",NA,NA
"C8-pos_Cluster_0719","Vitamin D and derivatives",NA
"C8-pos_Cluster_0722",NA,NA
"C8-pos_Cluster_0723",NA,NA
"C8-pos_Cluster_0725","Dihydroxy bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0730","Triterpenoids",NA
"C8-pos_Cluster_0731","Sesquiterpenoids",NA
"C8-pos_Cluster_0732",NA,NA
"C8-pos_Cluster_0736",NA,NA
"C8-pos_Cluster_0739",NA,NA
"C8-pos_Cluster_0740",NA,NA
"C8-pos_Cluster_0742",NA,NA
"C8-pos_Cluster_0743",NA,NA
"C8-pos_Cluster_0744",NA,NA
"C8-pos_Cluster_0745",NA,NA
"C8-pos_Cluster_0746",NA,NA
"C8-pos_Cluster_0747","Quinone and hydroquinone lipids",NA
"C8-pos_Cluster_0749",NA,NA
"C8-pos_Cluster_0750",NA,NA
"C8-pos_Cluster_0751","Naphthopyrans",NA
"C8-pos_Cluster_0752",NA,NA
"C8-pos_Cluster_0753",NA,NA
"C8-pos_Cluster_0754","Melleolides and analogues",NA
"C8-pos_Cluster_0758","Diterpenoids",NA
"C8-pos_Cluster_0759","Diterpenoids",NA
"C8-pos_Cluster_0760","Diterpenoids",NA
"C8-pos_Cluster_0761",NA,NA
"C8-pos_Cluster_0762",NA,NA
"C8-pos_Cluster_0763",NA,NA
"C8-pos_Cluster_0764",NA,NA
"C8-pos_Cluster_0765","Triterpenoids",NA
"C8-pos_Cluster_0766",NA,NA
"C8-pos_Cluster_0767","Triterpenoids",NA
"C8-pos_Cluster_0768",NA,NA
"C8-pos_Cluster_0771","Triterpenoids",NA
"C8-pos_Cluster_0773",NA,NA
"C8-pos_Cluster_0774",NA,NA
"C8-pos_Cluster_0775",NA,NA
"C8-pos_Cluster_0776","Triterpenoids",NA
"C8-pos_Cluster_0777","Triterpenoids",NA
"C8-pos_Cluster_0778","Triterpenoids",NA
"C8-pos_Cluster_0781","Monoterpenoids",NA
"C8-pos_Cluster_0782","Ergosterols and derivatives",NA
"C8-pos_Cluster_0783","Monoterpenoids",NA
"C8-pos_Cluster_0784",NA,NA
"C8-pos_Cluster_0786",NA,NA
"C8-pos_Cluster_0787",NA,NA
"C8-pos_Cluster_0788","Tetrahydroxy bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0789","Peptides",NA
"C8-pos_Cluster_0792",NA,NA
"C8-pos_Cluster_0793","Triterpenoids",NA
"C8-pos_Cluster_0795",NA,NA
"C8-pos_Cluster_0796",NA,NA
"C8-pos_Cluster_0797",NA,NA
"C8-pos_Cluster_0798",NA,NA
"C8-pos_Cluster_0799",NA,NA
"C8-pos_Cluster_0801","Vitamin K compounds",NA
"C8-pos_Cluster_0803",NA,NA
"C8-pos_Cluster_0804",NA,NA
"C8-pos_Cluster_0806","Cycloartanols and derivatives",NA
"C8-pos_Cluster_0807","Cycloartanols and derivatives",NA
"C8-pos_Cluster_0811",NA,NA
"C8-pos_Cluster_0815",NA,NA
"C8-pos_Cluster_0816",NA,NA
"C8-pos_Cluster_0817",NA,NA
"C8-pos_Cluster_0819",NA,NA
"C8-pos_Cluster_0822","Carbohydrates and carbohydrate conjugates",NA
"C8-pos_Cluster_0824",NA,NA
"C8-pos_Cluster_0825",NA,NA
"C8-pos_Cluster_0827",NA,NA
"C8-pos_Cluster_0828",NA,NA
"C8-pos_Cluster_0829",NA,NA
"C8-pos_Cluster_0830",NA,NA
"C8-pos_Cluster_0831",NA,NA
"C8-pos_Cluster_0832","Guaianes",NA
"C8-pos_Cluster_0833","Guaianes",NA
"C8-pos_Cluster_0834","Beta-diketones",NA
"C8-pos_Cluster_0835",NA,NA
"C8-pos_Cluster_0836",NA,NA
"C8-pos_Cluster_0837",NA,NA
"C8-pos_Cluster_0838",NA,NA
"C8-pos_Cluster_0839",NA,NA
"C8-pos_Cluster_0840","M-benzoquinones",NA
"C8-pos_Cluster_0844","Triterpenoids",NA
"C8-pos_Cluster_0847","Triterpenoids",NA
"C8-pos_Cluster_0849","Cucurbitacins",NA
"C8-pos_Cluster_0850",NA,NA
"C8-pos_Cluster_0851",NA,NA
"C8-pos_Cluster_0857",NA,NA
"C8-pos_Cluster_0858",NA,NA
"C8-pos_Cluster_0860",NA,NA
"C8-pos_Cluster_0861",NA,NA
"C8-pos_Cluster_0865",NA,NA
"C8-pos_Cluster_0869","Beta-diketones",NA
"C8-pos_Cluster_0871",NA,NA
"C8-pos_Cluster_0873","Glycerophosphates",NA
"C8-pos_Cluster_0874",NA,NA
"C8-pos_Cluster_0875",NA,NA
"C8-pos_Cluster_0876",NA,NA
"C8-pos_Cluster_0879",NA,NA
"C8-pos_Cluster_0880",NA,NA
"C8-pos_Cluster_0881",NA,NA
"C8-pos_Cluster_0882",NA,NA
"C8-pos_Cluster_0883",NA,NA
"C8-pos_Cluster_0884",NA,NA
"C8-pos_Cluster_0885",NA,NA
"C8-pos_Cluster_0888",NA,NA
"C8-pos_Cluster_0889",NA,NA
"C8-pos_Cluster_0890",NA,NA
"C8-pos_Cluster_0891",NA,NA
"C8-pos_Cluster_0892",NA,NA
"C8-pos_Cluster_0894",NA,NA
"C8-pos_Cluster_0895",NA,NA
"C8-pos_Cluster_0896",NA,NA
"C8-pos_Cluster_0897",NA,NA
"C8-pos_Cluster_0898",NA,NA
"C8-pos_Cluster_0901",NA,NA
"C8-pos_Cluster_0902",NA,NA
"C8-pos_Cluster_0903","Oligosaccharides",NA
"C8-pos_Cluster_0904",NA,NA
"C8-pos_Cluster_0908",NA,NA
"C8-pos_Cluster_0910","1-(1Z-alkenyl)-glycero-3-phosphocholines",NA
"C8-pos_Cluster_0912",NA,NA
"C8-pos_Cluster_0913",NA,NA
"C8-pos_Cluster_0918",NA,NA
"C8-pos_Cluster_0919","Triterpenoids",NA
"C8-pos_Cluster_0920",NA,NA
"C8-pos_Cluster_0921",NA,NA
"C8-pos_Cluster_0922",NA,NA
"C8-pos_Cluster_0923",NA,NA
"C8-pos_Cluster_0924","Fatty acid esters",NA
"C8-pos_Cluster_0926",NA,NA
"C8-pos_Cluster_0927",NA,NA
"C8-pos_Cluster_0929",NA,NA
"C8-pos_Cluster_0931",NA,NA
"C8-pos_Cluster_0932",NA,NA
"C8-pos_Cluster_0934","Triterpenoids",NA
"C8-pos_Cluster_0937",NA,NA
"C8-pos_Cluster_0938",NA,NA
"C8-pos_Cluster_0940",NA,NA
"C8-pos_Cluster_0942",NA,NA
"C8-pos_Cluster_0944",NA,NA
"C8-pos_Cluster_0947",NA,NA
"C8-pos_Cluster_0950",NA,NA
"C8-pos_Cluster_0952",NA,NA
"C8-pos_Cluster_0954",NA,NA
"C8-pos_Cluster_0957",NA,NA
"C8-pos_Cluster_0958",NA,NA
"C8-pos_Cluster_0961",NA,NA
"C8-pos_Cluster_0963","Steroidal glycosides",NA
"C8-pos_Cluster_0965",NA,NA
"C8-pos_Cluster_0968",NA,NA
"C8-pos_Cluster_0969",NA,NA
"C8-pos_Cluster_0970",NA,NA
"C8-pos_Cluster_0971",NA,NA
"C8-pos_Cluster_0972","Annonaceous acetogenins",NA
"C8-pos_Cluster_0976",NA,NA
"C8-pos_Cluster_0979",NA,NA
"C8-pos_Cluster_0983",NA,NA
"C8-pos_Cluster_0984",NA,NA
"C8-pos_Cluster_0987",NA,NA
"C8-pos_Cluster_0989",NA,NA
"C8-pos_Cluster_0990",NA,NA
"C8-pos_Cluster_0992",NA,NA
"C8-pos_Cluster_0993",NA,NA
"C8-pos_Cluster_0996","Sphingolipids",NA
"C8-pos_Cluster_0999",NA,NA
"C8-pos_Cluster_1000",NA,NA
"C8-pos_Cluster_1002",NA,NA
"C8-pos_Cluster_1006",NA,NA
"C8-pos_Cluster_1007",NA,NA
"C8-pos_Cluster_1008",NA,NA
"C8-pos_Cluster_1009",NA,NA
"C8-pos_Cluster_1013","1-acyl-sn-glycero-3-phosphocholines",NA
"C8-pos_Cluster_1016",NA,NA
"C8-pos_Cluster_1020",NA,NA
"C8-pos_Cluster_1021","1-acyl-sn-glycero-3-phosphocholines",NA
"C8-pos_Cluster_1022",NA,NA
"C8-pos_Cluster_1023",NA,NA
"C8-pos_Cluster_1024",NA,NA
"C8-pos_Cluster_1025","1-acyl-sn-glycero-3-phosphocholines",NA
"C8-pos_Cluster_1026",NA,NA
"C8-pos_Cluster_1029",NA,NA
"C8-pos_Cluster_1035",NA,NA
"C8-pos_Cluster_1037",NA,NA
"C8-pos_Cluster_1038",NA,NA
"C8-pos_Cluster_1039",NA,NA
"C8-pos_Cluster_1042","Annonaceous acetogenins",NA
"C8-pos_Cluster_1043",NA,NA
"C8-pos_Cluster_1044",NA,NA
"C8-pos_Cluster_1046",NA,NA
"C8-pos_Cluster_1047",NA,NA
"C8-pos_Cluster_1048",NA,NA
"C8-pos_Cluster_1049",NA,NA
"C8-pos_Cluster_1051",NA,NA
"C8-pos_Cluster_1052",NA,NA
"C8-pos_Cluster_1054","Triterpenoids",NA
"C8-pos_Cluster_1057",NA,NA
"C8-pos_Cluster_1058",NA,NA
"C8-pos_Cluster_1060","Lineolic acids and derivatives",NA
"C8-pos_Cluster_1061",NA,NA
"C8-pos_Cluster_1065",NA,NA
"C8-pos_Cluster_1067","Sesquaterpenoids",NA
"C8-pos_Cluster_1069",NA,NA
"C8-pos_Cluster_1071",NA,NA
"C8-pos_Cluster_1072",NA,NA
"C8-pos_Cluster_1073",NA,NA
"C8-pos_Cluster_1078",NA,NA
"C8-pos_Cluster_1079",NA,NA
"C8-pos_Cluster_1080",NA,NA
"C8-pos_Cluster_1081","Lineolic acids and derivatives",NA
"C8-pos_Cluster_1083",NA,NA
"C8-pos_Cluster_1084","1-acyl-sn-glycero-3-phosphoethanolamines",NA
"C8-pos_Cluster_1086",NA,NA
"C8-pos_Cluster_1088",NA,NA
"C8-pos_Cluster_1089",NA,NA
"C8-pos_Cluster_1091",NA,NA
"C8-pos_Cluster_1093","Sphingolipids",NA
"C8-pos_Cluster_1096",NA,NA
"C8-pos_Cluster_1097","Cholesteryl esters",NA
"C8-pos_Cluster_1098",NA,NA
"C8-pos_Cluster_1100","Benzopyrans",NA
"C8-pos_Cluster_1104",NA,NA
"C8-pos_Cluster_1105",NA,NA
"C8-pos_Cluster_1107","Fatty alcohols",NA
"C8-pos_Cluster_1109",NA,NA
"C8-pos_Cluster_1111","Stigmastanes and derivatives",NA
"C8-pos_Cluster_1112",NA,NA
"C8-pos_Cluster_1113","Annonaceous acetogenins",NA
"C8-pos_Cluster_1114","Annonaceous acetogenins",NA
"C8-pos_Cluster_1116",NA,NA
"C8-pos_Cluster_1117",NA,NA
"C8-pos_Cluster_1118",NA,NA
"C8-pos_Cluster_1119",NA,NA
"C8-pos_Cluster_1120",NA,NA
"C8-pos_Cluster_1123","Annonaceous acetogenins",NA
"C8-pos_Cluster_1124",NA,NA
"C8-pos_Cluster_1125","Annonaceous acetogenins",NA
"C8-pos_Cluster_1126",NA,NA
"C8-pos_Cluster_1127",NA,NA
"C8-pos_Cluster_1128",NA,NA
"C8-pos_Cluster_1129",NA,NA
"C8-pos_Cluster_1130",NA,NA
"C8-pos_Cluster_1133",NA,NA
"C8-pos_Cluster_1134",NA,NA
"C8-pos_Cluster_1135",NA,NA
"C8-pos_Cluster_1136",NA,NA
"C8-pos_Cluster_1138",NA,NA
"C8-pos_Cluster_1139",NA,NA
"C8-pos_Cluster_1140",NA,NA
"C8-pos_Cluster_1141",NA,NA
"C8-pos_Cluster_1142","1,3-diacylglycerols",NA
"C8-pos_Cluster_1143",NA,NA
"C8-pos_Cluster_1144",NA,NA
"C8-pos_Cluster_1145",NA,NA
"C8-pos_Cluster_1147",NA,NA
"C8-pos_Cluster_1149","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1151",NA,NA
"C8-pos_Cluster_1152",NA,NA
"C8-pos_Cluster_1153",NA,NA
"C8-pos_Cluster_1155","Tetraterpenoids",NA
"C8-pos_Cluster_1156",NA,NA
"C8-pos_Cluster_1158",NA,NA
"C8-pos_Cluster_1160",NA,NA
"C8-pos_Cluster_1161",NA,NA
"C8-pos_Cluster_1163",NA,NA
"C8-pos_Cluster_1164",NA,NA
"C8-pos_Cluster_1165",NA,NA
"C8-pos_Cluster_1166",NA,NA
"C8-pos_Cluster_1169","Cinnamic acids and derivatives",NA
"C8-pos_Cluster_1170",NA,NA
"C8-pos_Cluster_1172","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1173","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1174",NA,NA
"C8-pos_Cluster_1175",NA,NA
"C8-pos_Cluster_1178",NA,NA
"C8-pos_Cluster_1179",NA,NA
"C8-pos_Cluster_1180",NA,NA
"C8-pos_Cluster_1181","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1183","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1185",NA,NA
"C8-pos_Cluster_1187",NA,NA
"C8-pos_Cluster_1188",NA,NA
"C8-pos_Cluster_1189",NA,NA
"C8-pos_Cluster_1192",NA,NA
"C8-pos_Cluster_1193",NA,NA
"C8-pos_Cluster_1195",NA,NA
"C8-pos_Cluster_1196",NA,NA
"C8-pos_Cluster_1199",NA,NA
"C8-pos_Cluster_1201",NA,NA
"C8-pos_Cluster_1202","Flavonoids",NA
"C8-pos_Cluster_1206","1,3-diacylglycerols",NA
"C8-pos_Cluster_1207",NA,NA
"C8-pos_Cluster_1209",NA,NA
"C8-pos_Cluster_1210",NA,NA
"C8-pos_Cluster_1212",NA,NA
"C8-pos_Cluster_1213",NA,NA
"C8-pos_Cluster_1214","Benzopyrans",NA
"C8-pos_Cluster_1215",NA,NA
"C8-pos_Cluster_1216",NA,NA
"C8-pos_Cluster_1217",NA,NA
"C8-pos_Cluster_1219","Aromatic monoterpenoids",NA
"C8-pos_Cluster_1220",NA,NA
"C8-pos_Cluster_1221",NA,NA
"C8-pos_Cluster_1222",NA,NA
"C8-pos_Cluster_1223",NA,NA
"C8-pos_Cluster_1224",NA,NA
"C8-pos_Cluster_1225",NA,NA
"C8-pos_Cluster_1226","1,2-diacylglycerols",NA
"C8-pos_Cluster_1227",NA,NA
"C8-pos_Cluster_1228",NA,NA
"C8-pos_Cluster_1229",NA,NA
"C8-pos_Cluster_1230","Benzopyrans",NA
"C8-pos_Cluster_1231",NA,NA
"C8-pos_Cluster_1233",NA,NA
"C8-pos_Cluster_1234",NA,NA
"C8-pos_Cluster_1235",NA,NA
"C8-pos_Cluster_1236",NA,NA
"C8-pos_Cluster_1238",NA,NA
"C8-pos_Cluster_1241",NA,NA
"C8-pos_Cluster_1242",NA,NA
"C8-pos_Cluster_1244",NA,NA
"C8-pos_Cluster_1245",NA,NA
"C8-pos_Cluster_1246",NA,NA
"C8-pos_Cluster_1247",NA,NA
"C8-pos_Cluster_1248",NA,NA
"C8-pos_Cluster_1249",NA,NA
"C8-pos_Cluster_1250",NA,NA
"C8-pos_Cluster_1251",NA,NA
"C8-pos_Cluster_1252",NA,NA
"C8-pos_Cluster_1254",NA,NA
"C8-pos_Cluster_1255","Annonaceous acetogenins",NA
"C8-pos_Cluster_1256",NA,NA
"C8-pos_Cluster_1257",NA,NA
"C8-pos_Cluster_1258",NA,NA
"C8-pos_Cluster_1259",NA,NA
"C8-pos_Cluster_1264",NA,NA
"C8-pos_Cluster_1267","Cholesteryl esters",NA
"C8-pos_Cluster_1268",NA,NA
"C8-pos_Cluster_1272","Melleolides and analogues",NA
"C8-pos_Cluster_1273","Cholesteryl esters",NA
"C8-pos_Cluster_1274",NA,NA
"C8-pos_Cluster_1275",NA,NA
"C8-pos_Cluster_1276",NA,NA
"C8-pos_Cluster_1279",NA,NA
"C8-pos_Cluster_1280",NA,NA
"C8-pos_Cluster_1281",NA,NA
"C8-pos_Cluster_1283",NA,NA
"C8-pos_Cluster_1284",NA,NA
"C8-pos_Cluster_1287","Carbohydrates and carbohydrate conjugates",NA
"C8-pos_Cluster_1288",NA,NA
"C8-pos_Cluster_1289",NA,NA
"C8-pos_Cluster_1290",NA,NA
"C8-pos_Cluster_1292",NA,NA
"C8-pos_Cluster_1296",NA,NA
"C8-pos_Cluster_1300",NA,NA
"C8-pos_Cluster_1301","1,3-diacylglycerols",NA
"C8-pos_Cluster_1304",NA,NA
"C8-pos_Cluster_1305",NA,NA
"C8-pos_Cluster_1308","1,3-diacylglycerols",NA
"C8-pos_Cluster_1313",NA,NA
"C8-pos_Cluster_1314",NA,NA
"C8-pos_Cluster_1316",NA,NA
"C8-pos_Cluster_1320",NA,NA
"C8-pos_Cluster_1322",NA,NA
"C8-pos_Cluster_1323",NA,NA
"C8-pos_Cluster_1324",NA,NA
"C8-pos_Cluster_1325",NA,NA
"C8-pos_Cluster_1326",NA,NA
"C8-pos_Cluster_1327","1,3-diacylglycerols",NA
"C8-pos_Cluster_1328",NA,NA
"C8-pos_Cluster_1329",NA,NA
"C8-pos_Cluster_1330",NA,NA
"C8-pos_Cluster_1331",NA,NA
"C8-pos_Cluster_1332",NA,NA
"C8-pos_Cluster_1333",NA,NA
"C8-pos_Cluster_1334",NA,NA
"C8-pos_Cluster_1335",NA,NA
"C8-pos_Cluster_1336",NA,NA
"C8-pos_Cluster_1340",NA,NA
"C8-pos_Cluster_1341",NA,NA
"C8-pos_Cluster_1344",NA,NA
"C8-pos_Cluster_1345",NA,NA
"C8-pos_Cluster_1346",NA,NA
"C8-pos_Cluster_1347",NA,NA
"C8-pos_Cluster_1348",NA,NA
"C8-pos_Cluster_1349",NA,NA
"C8-pos_Cluster_1352",NA,NA
"C8-pos_Cluster_1353",NA,NA
"C8-pos_Cluster_1355",NA,NA
"C8-pos_Cluster_1356",NA,NA
"C8-pos_Cluster_1359",NA,NA
"C8-pos_Cluster_1360",NA,NA
"C8-pos_Cluster_1362",NA,NA
"C8-pos_Cluster_1363",NA,NA
"C8-pos_Cluster_1366",NA,NA
"C8-pos_Cluster_1368","Annonaceous acetogenins",NA
"C8-pos_Cluster_1370",NA,NA
"C8-pos_Cluster_1371",NA,NA
"C8-pos_Cluster_1374",NA,NA
"C8-pos_Cluster_1376",NA,NA
"C8-pos_Cluster_1378",NA,NA
"C8-pos_Cluster_1380",NA,NA
"C8-pos_Cluster_1381",NA,NA
"C8-pos_Cluster_1382",NA,NA
"C8-pos_Cluster_1384","1,2-diacylglycerols",NA
"C8-pos_Cluster_1387",NA,NA
"C8-pos_Cluster_1388",NA,NA
"C8-pos_Cluster_1390",NA,NA
"C8-pos_Cluster_1392",NA,NA
"C8-pos_Cluster_1394","Cholesteryl esters",NA
"C8-pos_Cluster_1396",NA,NA
"C8-pos_Cluster_1397",NA,NA
"C8-pos_Cluster_1398",NA,NA
"C8-pos_Cluster_1399",NA,NA
"C8-pos_Cluster_1400",NA,NA
"C8-pos_Cluster_1402",NA,NA
"C8-pos_Cluster_1403",NA,NA
"C8-pos_Cluster_1404",NA,NA
"C8-pos_Cluster_1405","Cholesteryl esters",NA
"C8-pos_Cluster_1406",NA,NA
"C8-pos_Cluster_1407",NA,NA
"C8-pos_Cluster_1408",NA,NA
"C8-pos_Cluster_1409",NA,NA
"C8-pos_Cluster_1412",NA,NA
"C8-pos_Cluster_1413",NA,NA
"C8-pos_Cluster_1414",NA,NA
"C8-pos_Cluster_1421",NA,NA
"C8-pos_Cluster_1422",NA,NA
"C8-pos_Cluster_1423",NA,NA
"C8-pos_Cluster_1424",NA,NA
"C8-pos_Cluster_1427",NA,NA
"C8-pos_Cluster_1429",NA,NA
"C8-pos_Cluster_1431",NA,NA
"C8-pos_Cluster_1432",NA,NA
"C8-pos_Cluster_1433","Other hydroxyeicosapolyenoic acids",NA
"C8-pos_Cluster_1434",NA,NA
"C8-pos_Cluster_1435",NA,NA
"C8-pos_Cluster_1437",NA,NA
"C8-pos_Cluster_1438",NA,NA
"C8-pos_Cluster_1439",NA,NA
"C8-pos_Cluster_1440",NA,NA
"C8-pos_Cluster_1441",NA,NA
"C8-pos_Cluster_1442",NA,NA
"C8-pos_Cluster_1443",NA,NA
"C8-pos_Cluster_1444",NA,NA
"C8-pos_Cluster_1445",NA,NA
"C8-pos_Cluster_1448",NA,NA
"C8-pos_Cluster_1451",NA,NA
"C8-pos_Cluster_1452",NA,NA
"C8-pos_Cluster_1453",NA,NA
"C8-pos_Cluster_1454",NA,NA
"C8-pos_Cluster_1455",NA,NA
"C8-pos_Cluster_1456",NA,NA
"C8-pos_Cluster_1457",NA,NA
"C8-pos_Cluster_1458",NA,NA
"C8-pos_Cluster_1459",NA,NA
"C8-pos_Cluster_1460","Steroid esters",NA
"C8-pos_Cluster_1462","1-alkyl,2-acylglycerophosphates",NA
"C8-pos_Cluster_1464","Steroid esters",NA
"C8-pos_Cluster_1465",NA,NA
"C8-pos_Cluster_1467",NA,NA
"C8-pos_Cluster_1469",NA,NA
"C8-pos_Cluster_1470",NA,NA
"C8-pos_Cluster_1471",NA,NA
"C8-pos_Cluster_1472","Other hydroxyeicosapolyenoic acids",NA
"C8-pos_Cluster_1474",NA,NA
"C8-pos_Cluster_1475",NA,NA
"C8-pos_Cluster_1477",NA,NA
"C8-pos_Cluster_1479",NA,NA
"C8-pos_Cluster_1480",NA,NA
"C8-pos_Cluster_1482",NA,NA
"C8-pos_Cluster_1483",NA,NA
"C8-pos_Cluster_1484",NA,NA
"C8-pos_Cluster_1486",NA,NA
"C8-pos_Cluster_1489",NA,NA
"C8-pos_Cluster_1492",NA,NA
"C8-pos_Cluster_1493",NA,NA
"C8-pos_Cluster_1497",NA,NA
"C8-pos_Cluster_1498",NA,NA
"C8-pos_Cluster_1501",NA,NA
"C8-pos_Cluster_1503","Cholesteryl esters",NA
"C8-pos_Cluster_1505",NA,NA
"C8-pos_Cluster_1506",NA,NA
"C8-pos_Cluster_1507",NA,NA
"C8-pos_Cluster_1508",NA,NA
"C8-pos_Cluster_1513","Cholesteryl esters",NA
"C8-pos_Cluster_1515",NA,NA
"C8-pos_Cluster_1517",NA,NA
"C8-pos_Cluster_1518",NA,NA
"C8-pos_Cluster_1519",NA,NA
"C8-pos_Cluster_1520",NA,NA
"C8-pos_Cluster_1522",NA,NA
"C8-pos_Cluster_1524","Cholesteryl esters",NA
"C8-pos_Cluster_1526",NA,NA
"C8-pos_Cluster_1528",NA,NA
"C8-pos_Cluster_1529",NA,NA
"C8-pos_Cluster_1531",NA,NA
"C8-pos_Cluster_1532",NA,NA
"C8-pos_Cluster_1533","Cholesteryl esters",NA
"C8-pos_Cluster_1534","Cholesteryl esters",NA
"C8-pos_Cluster_1535",NA,NA
"C8-pos_Cluster_1536",NA,NA
"C8-pos_Cluster_1537","Phosphatidylethanolamines",NA
"C8-pos_Cluster_1538",NA,NA
"C8-pos_Cluster_1539",NA,NA
"C8-pos_Cluster_1540",NA,NA
"C8-pos_Cluster_1542","1,3-diacylglycerols",NA
"C8-pos_Cluster_1546",NA,NA
"C8-pos_Cluster_1548",NA,NA
"C8-pos_Cluster_1549","1,3-diacylglycerols",NA
"C8-pos_Cluster_1550","Quinone and hydroquinone lipids",NA
"C8-pos_Cluster_1552",NA,NA
"C8-pos_Cluster_1553","Quinone and hydroquinone lipids",NA
"C8-pos_Cluster_1554",NA,NA
"C8-pos_Cluster_1556","Benzoic acid esters",NA
"C8-pos_Cluster_1558",NA,NA
"C8-pos_Cluster_1559",NA,NA
"C8-pos_Cluster_1561",NA,NA
"C8-pos_Cluster_1564",NA,NA
"C8-pos_Cluster_1565",NA,NA
"C8-pos_Cluster_1566",NA,NA
"C8-pos_Cluster_1567",NA,NA
"C8-pos_Cluster_1568",NA,NA
"C8-pos_Cluster_1569","Phosphatidylethanolamines",NA
"C8-pos_Cluster_1570",NA,NA
"C8-pos_Cluster_1571",NA,NA
"C8-pos_Cluster_1572",NA,NA
"C8-pos_Cluster_1573",NA,NA
"C8-pos_Cluster_1574",NA,NA
"C8-pos_Cluster_1575",NA,NA
"C8-pos_Cluster_1576",NA,NA
"C8-pos_Cluster_1577",NA,NA
"C8-pos_Cluster_1578",NA,NA
"C8-pos_Cluster_1579",NA,NA
"C8-pos_Cluster_1581",NA,NA
"C8-pos_Cluster_1582",NA,NA
"C8-pos_Cluster_1583",NA,NA
"C8-pos_Cluster_1584",NA,NA
"C8-pos_Cluster_1585",NA,NA
"C8-pos_Cluster_1588",NA,NA
"C8-pos_Cluster_1589",NA,NA
"C8-pos_Cluster_1590",NA,NA
"C8-pos_Cluster_1591",NA,NA
"C8-pos_Cluster_1592",NA,NA
"C8-pos_Cluster_1593",NA,NA
"C8-pos_Cluster_1596",NA,NA
"C8-pos_Cluster_1598",NA,NA
"C8-pos_Cluster_1599","Cholesteryl esters",NA
"C8-pos_Cluster_1600",NA,NA
"C8-pos_Cluster_1601",NA,NA
"C8-pos_Cluster_1602",NA,NA
"C8-pos_Cluster_1603",NA,NA
"C8-pos_Cluster_1604",NA,NA
